 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : DLX
Version: S-2021.06-SP4
Date   : Sun Sep 10 20:15:13 2023
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
DLX                    5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
IR[31]                        16.270    0.500    0.1000      0.9843  d
IR[3]                         14.125    0.500    0.1000      0.8545  d
IR[26]                        11.927    0.500    0.1000      0.7216  d
IR[0]                         11.893    0.500    0.1000      0.7196  d
IR[28]                        11.893    0.500    0.1000      0.7195  d
IR[1]                         11.050    0.500    0.1000      0.6685  d
IR[27]                         9.688    0.500    0.1000      0.5861  d
IR[29]                         9.622    0.500    0.1000      0.5821  d
IR[5]                          9.620    0.500    0.1000      0.5820  d
IR[30]                         7.781    0.500    0.1000      0.4708  d
IR[4]                          7.440    0.500    0.1000      0.4501  d
IR[2]                          6.774    0.500    0.1000      0.4099  d
PC[2]                          6.722    0.500    0.1000      0.4067  d
PC[30]                         4.978    0.500    0.1000      0.3011  d
PC[3]                          4.297    0.500    0.1000      0.2600  d
PC[4]                          4.297    0.500    0.1000      0.2600  d
PC[5]                          4.297    0.500    0.1000      0.2600  d
PC[6]                          4.297    0.500    0.1000      0.2600  d
PC[7]                          4.297    0.500    0.1000      0.2600  d
PC[8]                          4.297    0.500    0.1000      0.2600  d
PC[9]                          4.297    0.500    0.1000      0.2600  d
PC[10]                         4.297    0.500    0.1000      0.2600  d
PC[11]                         4.297    0.500    0.1000      0.2600  d
PC[12]                         4.297    0.500    0.1000      0.2600  d
PC[13]                         4.297    0.500    0.1000      0.2600  d
PC[14]                         4.297    0.500    0.1000      0.2600  d
PC[15]                         4.297    0.500    0.1000      0.2600  d
PC[16]                         4.297    0.500    0.1000      0.2600  d
PC[17]                         4.297    0.500    0.1000      0.2600  d
PC[18]                         4.297    0.500    0.1000      0.2600  d
PC[19]                         4.297    0.500    0.1000      0.2600  d
PC[20]                         4.297    0.500    0.1000      0.2600  d
PC[21]                         4.297    0.500    0.1000      0.2600  d
PC[22]                         4.297    0.500    0.1000      0.2600  d
PC[23]                         4.297    0.500    0.1000      0.2600  d
PC[24]                         4.297    0.500    0.1000      0.2600  d
PC[25]                         4.297    0.500    0.1000      0.2600  d
PC[26]                         4.297    0.500    0.1000      0.2600  d
PC[27]                         4.297    0.500    0.1000      0.2600  d
PC[28]                         4.297    0.500    0.1000      0.2600  d
PC[29]                         4.297    0.500    0.1000      0.2600  d
IR[6]                          3.381    0.500    0.1000      0.2045  d
IR[10]                         3.281    0.500    0.1000      0.1985  d
PC[31]                         2.932    0.500    0.1000      0.1774  d
IR[9]                          2.576    0.500    0.1000      0.1559  d
IR[8]                          2.557    0.500    0.1000      0.1547  d
IR[7]                          2.539    0.500    0.1000      0.1536  d
IR[11]                         1.228    0.500    0.1000      0.0743  d
IR[12]                         1.228    0.500    0.1000      0.0743  d
IR[13]                         1.228    0.500    0.1000      0.0743  d
IR[14]                         1.228    0.500    0.1000      0.0743  d
IR[15]                         1.228    0.500    0.1000      0.0743  d
IR[16]                         1.228    0.500    0.1000      0.0743  d
IR[17]                         1.228    0.500    0.1000      0.0743  d
IR[18]                         1.228    0.500    0.1000      0.0743  d
IR[19]                         1.228    0.500    0.1000      0.0743  d
